"director.id","worker.id","condition","sitename","privacy","avatars","contentrank","usersrank","socnetwork","revenue","agg.result","agg.nopriv","agg.noprivsn","age","edu","hhsize","female","notenglish","hhemploy","employed.f","country","feeds","tabs","norm"
9912,"A2XE70B4OYKJSF","Promise-opportunity","KIVA",1,1,0,0,0,0,2,1,1,33,"Post-graduate or professional degree",4,"Male","Very often",0,"employed full time","IN",NA,"Full understanding",FALSE
9913,"A16H5VD6GKLKA8","Demog only","kiva",1,NA,NA,NA,NA,NA,NA,NA,NA,22,"College or University-level degree",4,"Male","Very often",2,"employed full time","IN","Some understanding","Full understanding",NA
9914,"A309JXAEEQHGAZ","Tournament scoring","Kiva",1,1,0,0,1,0,3,2,1,27,"College or University-level degree",4,"Female","Never",1,"domestic spouse","US",NA,"Little understanding",FALSE
9916,"A2UZBOY30GFC3I","Promise-opportunity","Kiva",1,0,1,1,1,1,5,4,3,35,"College or University-level degree",4,"Male","Sometimes",1,"employed full time","US","Good understanding","Full understanding",FALSE
9917,"A844J7CQ7BLCR","Control","learntolend.com",1,1,0,0,0,0,2,1,1,21,"College or University-level degree",4,"Male","Often",1,"student","IN","Good understanding","Good understanding",FALSE
9918,"A20KN5447EV9FP","Cheap talk–surveillance","Kiva",1,1,0,0,1,1,4,3,2,44,"Some college or university-level education, without degree",4,"Female","Often",3,"domestic spouse","IN","Good understanding","Good understanding",FALSE
9919,"A1RY1AF3L1BGWW","Betting","Kiva",1,1,0,1,1,1,5,4,3,32,"College or University-level degree",3,"Male","Sometimes",2,"employed full time","US","Some understanding","Some understanding",FALSE
9920,"AD8U7R1O1PU7V","Reward–agreement","Kiva",1,1,0,0,1,1,4,3,2,27,"Post-graduate or professional degree",2,"Female","Often",2,"employed full time","CA",NA,"Full understanding",FALSE
9921,"A2PA4Y7YNSXSAU","Punishment–accuracy","Kiva",1,1,0,0,1,0,3,2,1,21,"College or University-level degree",4,"Male","Very often",2,"employed other","IN",NA,"Full understanding",FALSE
9922,"A2K56J9POYUFCA","Betting","KIVA",1,1,1,0,1,1,5,4,3,38,"Post-graduate or professional degree",3,"Female","Often",1,"domestic spouse","IN","Some understanding","Full understanding",FALSE
9923,"A5W9NTWO8TKYZ","Betting","kiva",1,1,0,0,1,0,3,2,1,52,"College or University-level degree",4,"Male","Very often",2,"employed other","IN",NA,"Full understanding",FALSE
9924,"A2EZGNOPV263X","Cheap talk–surveillance","KIVA LOANS THAT CHANGE LIVES",1,1,0,0,0,0,2,1,1,38,"Post-graduate or professional degree",NA,"Female","Rarely",3,"employed full time","IN",NA,"Little understanding",FALSE
9925,"A3EY1T7PZBW7E2","Punishment–accuracy","Kiva",0,1,0,0,0,0,1,1,1,19,"Some college or university-level education, without degree",4,"Female","Rarely",2,"student","US",NA,"Full understanding",FALSE
9926,"A1KV3LDWB5CPDW","Cheap talk–normative incentives","Kiva",1,1,0,0,1,0,3,2,1,24,"Post-graduate or professional degree",4,"Female","Very often",2,"employed full time","IN","Good understanding","No understanding",FALSE
9927,"A3Q0V3R02UKY66","Trust","Kiva",1,1,0,0,1,1,4,3,2,20,"Some college or university-level education, without degree",4,"Female","Sometimes",1,"student","US","Good understanding","Full understanding",FALSE
9928,"A3NN1ZNDSW9U2Z","Control","Kiva",1,1,1,1,1,1,6,5,4,29,"Some college or university-level education, without degree",2,"Female","Very often",1,"employed full time","MT",NA,"Full understanding",FALSE
9929,"A38KYZL6WS8SWO","Normative Priming","kiva",0,1,0,0,1,1,3,3,2,22,"College or University-level degree",4,"Male","Sometimes",2,"employed full time","IN",NA,"No understanding",TRUE
9931,"A355098PIBJXXS","Punishment–accuracy","KIVA",1,1,0,0,1,0,3,2,1,26,"Post-graduate or professional degree",4,"Male","Very often",1,"employed full time","IN",NA,"Full understanding",FALSE
9932,"A1HSF9XPG1LHMX","Cheap talk–surveillance","kiva",0,1,0,0,1,0,2,2,1,31,"High school degree or equivalent",6,"Female","Never",1,"domestic spouse","US","Some understanding","Full understanding",FALSE
9933,"A183HFE31MAO8T","Cheap talk–normative incentives","Kiva - Loans that change lives",1,0,0,0,0,1,2,1,1,29,"Some college or university-level education, without degree",3,"Female","Rarely",1,"domestic spouse","US",NA,"Some understanding",FALSE
9934,"A23P3HCAGF3YW4","Promise-opportunity","Kiva",1,0,0,0,1,0,2,1,0,52,"College or University-level degree",2,"Female","Never",0,"other","US","Some understanding","Full understanding",FALSE
9935,"A1Y23A5QCJ91CG","Betting","Kiva",1,1,0,0,0,1,3,2,2,29,"College or University-level degree",1,"Female","Rarely",0,"unemployed","US","Some understanding","Some understanding",FALSE
9936,"A2UTDL99IZNGPF","Demog only","Kiva",1,NA,NA,NA,NA,NA,NA,NA,NA,21,"Some college or university-level education, without degree",4,"Male","Rarely",3,"student","US","Some understanding","Full understanding",NA
9937,"A179OX1482SRXK","Tournament scoring","Kiva",1,1,0,0,1,0,3,2,1,21,"Some college or university-level education, without degree",1,"Male","Never",0,"student","US","Good understanding","Full understanding",FALSE
9938,"A32ZVDU0E6SCH5","Tournament scoring","Google",1,1,0,0,0,1,3,2,2,25,"High school degree or equivalent",4,"Male","Very often",3,"employed part time","IN",NA,"Full understanding",FALSE
9939,"AGIM30RR3XJ43","Punishment–accuracy","Kiva",1,1,0,0,0,0,2,1,1,NA,NA,NA,"9999","9999",NA,NA,NA,NA,NA,FALSE
9940,"A3RHBQBTPYUMSK","Punishment–accuracy","Kiva",1,1,1,1,1,1,6,5,4,22,"College or University-level degree",2,"Female","Never",0,"employed part time","US",NA,"Full understanding",FALSE
9941,"A33YNNWFOMZ7BX","Control","Kiva",1,1,0,0,0,0,2,1,1,45,"Some college or university-level education, without degree",4,"Female","Rarely",2,"employed other","US","Some understanding","Good understanding",FALSE
9942,"AQBYT6ISK9YNN","Tournament scoring","Kiva",1,0,1,0,1,0,3,2,1,51,"Some college or university-level education, without degree",3,"Female","Never",0,"employed full time","US","Good understanding","Full understanding",FALSE
9943,"A3MWHXJMJMUNWN","Promise-opportunity","kiva",1,1,0,0,1,0,3,2,1,30,"College or University-level degree",3,"Female","Rarely",1,"domestic spouse","US","Good understanding","Good understanding",FALSE
9944,"AM56E3KIXEO65","Normative Priming","Kiva",1,1,0,0,1,1,4,3,2,27,"High school degree or equivalent",5,"Male","Never",2,"other","US",NA,"Full understanding",TRUE
9945,"A1D6WK8UZ5J8T0","Control","Kiva",1,1,0,0,0,1,3,2,2,32,"College or University-level degree",2,"Male","Very often",1,"employed full time","US","Good understanding","Good understanding",FALSE
9946,"A1ODJ2DZLXHFEF","Control","Kiva",1,1,0,0,1,0,3,2,1,36,"College or University-level degree",6,"Male","Very often",0,"employed other","IN","Good understanding","Full understanding",FALSE
9947,"A1HP97Y6935F9F","Cheap talk–normative incentives","Kiva",1,1,1,1,1,0,5,4,3,31,"Post-graduate or professional degree",3,"Male","Never",2,"employed full time","US","Some understanding","Full understanding",FALSE
9948,"A2EWKE5HQ9YIE","Demog only","Kiva",1,NA,NA,NA,NA,NA,NA,NA,NA,37,"Some college or university-level education, without degree",2,"Male","Rarely",1,"employed other","US","Good understanding","Full understanding",NA
9949,"A14IRW8PZCPPN7","Promise-opportunity","Kiva",1,1,0,0,1,0,3,2,1,23,"College or University-level degree",6,"Male","Often",2,"student","IN","Good understanding","Good understanding",FALSE
9950,"A3UJZF5OBZP6LH","Humanization","kiva",1,1,0,0,0,1,3,2,2,24,"High school degree or equivalent",3,"Male","Often",0,"employed part time","ID",NA,"Full understanding",FALSE
9951,"A34ROD5MIZJ5SJ","Cheap talk–normative incentives","Kiva",1,1,0,0,1,0,3,2,1,48,"College or University-level degree",4,"Female","Never",1,"employed part time","US","Good understanding","Some understanding",FALSE
9953,"A1NRQIHVVN4PY2","Control","Kiva",1,1,0,0,1,0,3,2,1,26,"College or University-level degree",1,"Male","Never",0,"employed full time","US",NA,"Full understanding",FALSE
9954,"A23JEBCYON74BP","Solidarity","Kiva, loans that save lives",1,0,0,0,0,1,2,1,1,37,"College or University-level degree",2,"Female","Rarely",0,"employed full time","US","Good understanding","Some understanding",FALSE
9955,"A1GV0UZU0T2ORS","Punishment–accuracy","Kiva",1,1,1,0,1,1,5,4,3,23,"College or University-level degree",2,"Male","Sometimes",1,"student","US",NA,"Full understanding",FALSE
9956,"A1U69T3XQCWHKU","Cheap talk–normative incentives","Kiva",1,1,0,0,1,1,4,3,2,35,"High school degree or equivalent",4,"Female","Never",2,"domestic spouse","US",NA,"Full understanding",FALSE
9957,"A3KLQFORRFO8EM","Normative Priming","kiva",1,0,0,0,0,1,2,1,1,52,"Post-graduate or professional degree",4,"Female","Very often",2,"domestic spouse","IN",NA,"Little understanding",TRUE
9958,"A1RZTXA8KE4X6N","Control","Kiva",1,1,0,1,1,0,4,3,2,27,"Some college or university-level education, without degree",5,"Female","Often",3,"employed full time","US","Good understanding","Full understanding",FALSE
9959,"A3K1NFRE3KPB2H","Demog only","kiva",1,NA,NA,NA,NA,NA,NA,NA,NA,24,"College or University-level degree",9,"Male","Often",5,"unemployed","IN",NA,"Full understanding",NA
9960,"A1E2UU9ZO6AY68","Humanization","kiva",1,1,0,0,1,0,3,2,1,23,"Post-graduate or professional degree",6,"Male","Often",2,"unemployed","IN","Good understanding","Good understanding",FALSE
9961,"A38Q4CJF50J4TM","Tournament scoring","Kiva (Loans that change lives)",1,1,0,0,1,0,3,2,1,27,"Post-graduate or professional degree",5,"Male","Often",2,"employed full time","IN",NA,"Full understanding",FALSE
9962,"A2K09WXAV88KY3","Tournament scoring","Kiva",1,1,0,0,0,0,2,1,1,NA,"High school degree or equivalent",4,"Female","Very often",1,"employed other","IN",NA,"Full understanding",FALSE
9963,"A1UHPM674SXJVD","Solidarity","kiva - loans that change lives",1,0,0,0,0,1,2,1,1,22,"College or University-level degree",5,"Male","Sometimes",1,"employed full time","IN","Good understanding","Good understanding",FALSE
9964,"A14OF8HHGFZQ5P","Betting","KIVA",1,1,0,0,1,0,3,2,1,27,"Post-graduate or professional degree",2,"Female","Very often",1,"employed other","IN",NA,"Full understanding",FALSE
9965,"A27IEXI04DG2SY","Trust","Kiva",1,1,0,0,1,0,3,2,1,19,"High school degree or equivalent",4,"Female","Rarely",2,"unemployed","US","Good understanding","Full understanding",FALSE
9966,"A2HD7LNP9C3YX2","Cheap talk–normative incentives","Kiva - Loans that change lives",1,1,0,0,0,1,3,2,2,48,"Some college or university-level education, without degree",4,"Female","Often",1,"domestic spouse","IN","Some understanding","Good understanding",FALSE
9967,"AO6BQ7X3DPKK4","Tournament scoring","Kiva",1,1,1,1,0,1,5,4,4,21,"College or University-level degree",5,"Female","Rarely",2,"student","US","Good understanding","Good understanding",FALSE
9968,"A2UK8Y4T6NXOO5","Cheap talk–normative incentives","kiva",1,0,0,0,0,0,1,0,0,21,"College or University-level degree",4,"Female","Often",1,"employed full time","IN","Some understanding","Good understanding",FALSE
9969,"AE1KG0639MI5X","Solidarity","kiva",1,1,1,1,1,0,5,4,3,20,NA,NA,"9999","9999",NA,NA,NA,NA,NA,FALSE
9970,"A3OY23KK0BB08Q","Demog only","Kiva",0,NA,NA,NA,NA,NA,NA,NA,NA,23,"College or University-level degree",4,"Male","Rarely",2,"employed part time","IN","Good understanding","Some understanding",NA
9971,"A2JPXAF2MC24F7","Cheap talk–surveillance","KIVA",1,1,0,0,1,0,3,2,1,37,"College or University-level degree",4,"Female","Often",1,"domestic spouse","IN",NA,"Full understanding",FALSE
9972,"A16LBH3WBTCKSZ","Punishment–agreement","Kiva",0,1,0,0,1,1,3,3,2,23,"College or University-level degree",4,"Male","Rarely",2,"employed part time","IN","Good understanding","Full understanding",FALSE
9973,"A38TE493DFRC74","Punishment–accuracy","kiva",1,1,0,0,1,1,4,3,2,26,"College or University-level degree",4,"Male","Rarely",2,"employed part time","IN","Good understanding","Full understanding",FALSE
9974,"A6GNADL3B1EE0","Solidarity","Kiva",1,1,0,0,1,0,3,2,1,23,"College or University-level degree",4,"Male","Rarely",2,"employed part time","IN",NA,"Good understanding",FALSE
9975,"A1NRUZBT0LTI0H","Normative Priming","kiva",1,0,0,0,1,0,2,1,0,20,"Some college or university-level education, without degree",4,"Male","Very often",1,"student","IN",NA,"Full understanding",TRUE
9976,"ATVYXLWEH5N03","Reward–accuracy","www.kiva.org",1,1,0,0,0,0,2,1,1,23,"College or University-level degree",3,"Male","Very often",0,"employed full time","IN","Good understanding","Full understanding",FALSE
9977,"A3ED60G7SF2WJ8","Demog only","Kiva",1,NA,NA,NA,NA,NA,NA,NA,NA,29,"College or University-level degree",1,"Female","Sometimes",0,"student","US","Some understanding","Full understanding",NA
9978,"AL4DDJASS3OW3","Cheap talk–surveillance","Kiva",1,1,0,0,1,1,4,3,2,52,"Some college or university-level education, without degree",2,"Female","Never",1,"employed full time","US","Some understanding","Full understanding",FALSE
9979,"A16JB90NHAG8CC","Tournament scoring","Kiva",1,1,1,1,1,0,5,4,3,40,"High school degree or equivalent",1,"Female","Never",0,"unemployed","US","Some understanding","Little understanding",FALSE
9980,"AYQWKOFQXPZN9","Control","Kiva",0,1,0,0,1,1,3,3,2,36,"High school degree or equivalent",6,"Male","Very often",0,"unemployed","BD",NA,"Full understanding",FALSE
9981,"A2I93BY3DHX3MB","Tournament scoring","Kiva - Loans that change lives",1,1,0,0,1,0,3,2,1,52,"College or University-level degree",5,"Male","Very often",2,"employed part time","IN","Good understanding","Some understanding",FALSE
9982,"A2IGGFWXBWCMIO","Promise-opportunity","kiva",1,1,0,1,0,0,3,2,2,21,"College or University-level degree",4,"Female","Often",3,"employed full time","IN",NA,"Good understanding",FALSE
9983,"A1REHE2EJ9AOP2","Cheap talk–normative incentives","kiva",1,0,0,1,0,1,3,2,2,22,"College or University-level degree",5,"Female","Often",1,"employed full time","IN",NA,"Full understanding",FALSE
9984,"A2YNLV0AWMDDGI","Normative Priming","kiva",1,1,0,0,0,0,2,1,1,22,"Post-graduate or professional degree",5,"Male","Rarely",1,"employed other","IN",NA,"Good understanding",TRUE
9985,"A1K6SL2ISHTB6R","Reward–accuracy","Kiva",1,1,0,0,0,1,3,2,2,21,"College or University-level degree",5,"Male","Often",1,"student","IN","Good understanding","Good understanding",FALSE
9986,"A3KDT7LJ45E546","Promise-opportunity","Kiva",1,1,0,0,1,1,4,3,2,28,"College or University-level degree",2,"Male","Often",2,"employed full time","RO","Good understanding","Good understanding",FALSE
9987,"A356MGISDUJ3NQ","Cheap talk–normative incentives","www.mturk.com",0,1,1,0,1,1,4,4,3,45,"High school degree or equivalent",7,"Female","Sometimes",6,"employed full time","IN",NA,"No understanding",FALSE
9988,"A3GTQFRUC98ABZ","Cheap talk–normative incentives","Kiva",1,1,0,0,0,0,2,1,1,22,"College or University-level degree",4,"Male","Often",3,"employed other","IN","Some understanding","Full understanding",FALSE
9989,"A2I2LSVG042KRZ","Betting","Kiva",1,1,0,0,1,0,3,2,1,31,"Post-graduate or professional degree",2,"Male","Rarely",1,"unemployed","US",NA,"Full understanding",FALSE
9990,"A282C5QI5LZMAE","Trust","Kiva",1,0,1,1,0,0,3,2,2,35,"Some college or university-level education, without degree",4,"Female","Never",2,"employed full time","US",NA,"Full understanding",FALSE
9991,"A9L5LDIFTZLJY","Reward–accuracy","kiva",0,0,0,0,0,0,0,0,0,35,"Post-graduate or professional degree",4,"Female","Very often",1,"domestic spouse","IN","Some understanding","Good understanding",FALSE
9992,"AWIEH0BAKN45P","Trust","kiva",1,0,0,0,0,0,1,0,0,19,"Some college or university-level education, without degree",5,"Male","9999",1,"student","IN",NA,"Full understanding",FALSE
9993,"A2VZ4NY3QJ07HE","Betting","Kiva",1,0,0,0,1,0,2,1,0,30,"College or University-level degree",6,"Female","Often",NA,"student","IN","Some understanding","Some understanding",FALSE
9994,"ADBTTEDATH34W","Humanization","Kiva",1,1,1,0,1,0,4,3,2,23,"College or University-level degree",1,"Male","Never",NA,"employed full time","US","Some understanding","Full understanding",FALSE
9995,"A20QQDNRVSHTX9","Punishment–agreement","Kiva",1,1,0,0,0,1,3,2,2,31,"College or University-level degree",5,"Male","Often",1,"employed full time","IN","Some understanding","Some understanding",FALSE
9996,"AF0VG11SRWZUM","Tournament scoring","Kiva",1,0,1,0,0,1,3,2,2,30,"Post-graduate or professional degree",2,"Female","Rarely",1,"employed full time","US",NA,"Full understanding",FALSE
9997,"A3G6P6ZDC3ZKB1","Promise-opportunity","Kiva",1,1,0,0,1,1,4,3,2,41,"Post-graduate or professional degree",1,"Male","Never",0,"employed part time","US","Good understanding","Full understanding",FALSE
9998,"A2HUMIPW4Z2NWM","Punishment–accuracy","Kiva - Loans that change lives",1,1,0,0,1,1,4,3,2,29,"College or University-level degree",3,"Male","Sometimes",1,"employed part time","US","Some understanding","Some understanding",FALSE
9999,"A5V1MG2O4PQ2","Solidarity","Kiva",1,0,0,0,1,0,2,1,0,34,"College or University-level degree",3,"Male","Very often",1,"employed full time","IN","Some understanding","Good understanding",FALSE
10000,"A3R915BAYEW8X","Punishment–accuracy","Kiva - Loans that Change Lives",1,0,1,1,0,0,3,2,2,24,"College or University-level degree",2,"Female","Never",1,"employed full time","US",NA,"Good understanding",FALSE
10001,"A1CEL7J5O3PO73","Control","kiva",1,0,0,0,1,1,3,2,1,55,"Post-graduate or professional degree",5,"Male","Often",4,"employed other","IN",NA,"Little understanding",FALSE
10002,"A39729T8AVPSAT","Punishment–agreement","Kiva",1,1,0,0,0,1,3,2,2,26,"Post-graduate or professional degree",3,"Male","Often",1,"employed full time","IN",NA,"Full understanding",FALSE
10003,"A2URRK0RJ4DAI2","Reward–accuracy","Kiva",1,1,0,0,1,1,4,3,2,22,"Some college or university-level education, without degree",4,"Male","Very often",2,"student","IN",NA,"Little understanding",FALSE
10004,"A2BRF0PNGEJB26","Tournament scoring","Kiva",1,1,0,0,1,0,3,2,1,36,"College or University-level degree",6,"Male","Very often",0,"unemployed","IN","Some understanding","Full understanding",FALSE
10005,"A1AKLMHYMFGMC2","Reward–agreement","Kiva",1,1,0,0,1,0,3,2,1,31,"College or University-level degree",2,"Female","Sometimes",1,"unemployed","IN",NA,"No understanding",FALSE
10006,"A1UBYDGRPJPBVT","Reward–accuracy","Kiva",1,1,0,0,1,0,3,2,1,30,"College or University-level degree",3,"Female","Rarely",1,"employed full time","US","Some understanding","Full understanding",FALSE
10007,"AGFOWZAM88KIN","Humanization","Kiva",1,1,0,0,1,0,3,2,1,21,"Some college or university-level education, without degree",2,"Male","Very often",1,"student","US","Good understanding","Full understanding",FALSE
10008,"AZ2UYLTOR3EQI","Normative Priming","kiva",1,1,0,0,0,0,2,1,1,27,"Post-graduate or professional degree",3,"Male","Very often",1,"employed full time","IN","Some understanding","Little understanding",TRUE
10009,"AHX9GB7OL01WN","Betting","Kiva - Loans that change lives",1,1,0,0,0,1,3,2,2,22,"College or University-level degree",4,"Male","Never",3,"employed part time","US","Some understanding","Some understanding",FALSE
10010,"AO5UPUCH5O6GM","Normative Priming","Kiva",1,1,0,0,1,0,3,2,1,25,"High school degree or equivalent",3,"Female","Never",1,"domestic spouse","US","Some understanding","Some understanding",TRUE
10011,"ACDOOIXXLP9HV","Promise-opportunity","Kiva",1,0,0,0,1,0,2,1,0,55,"Post-graduate or professional degree",2,"Female","Rarely",1,"retired",NA,NA,"Some understanding",FALSE
10012,"A226K1CA2VCZ7O","Solidarity","Kiva",1,1,0,0,0,1,3,2,2,22,"College or University-level degree",4,"Male","Sometimes",3,"student","US",NA,"Full understanding",FALSE
10013,"A3PWAQEC63IQP1","Trust","kiva",1,1,1,1,1,1,6,5,4,52,"College or University-level degree",3,"Female","Never",0,"employed other","US","Some understanding","Some understanding",FALSE
10014,"A3VTOKG5EAPYAX","Humanization","kiva",1,1,0,0,1,0,3,2,1,46,"Some college or university-level education, without degree",2,"Female","Rarely",1,"employed full time","US","Good understanding","Full understanding",FALSE
10015,"ANKC3TBTO11DY","Demog only","Kiva",1,NA,NA,NA,NA,NA,NA,NA,NA,48,"College or University-level degree",2,"Female","Never",0,"employed full time","US",NA,"Some understanding",NA
10016,"AVWFSZ5NTPEJP","Control","kiva",1,1,0,0,1,0,3,2,1,39,"Some college or university-level education, without degree",2,"Female","Never",0,"student","US","Good understanding","Good understanding",FALSE
10017,"A2DO3HBE5HGVEN","Solidarity","Kiva",0,0,0,0,1,0,1,1,0,39,"College or University-level degree",4,"Female","Very often",2,"employed other","PH","Some understanding","Full understanding",FALSE
10018,"A1Y2GHBIE4TI61","Reward–accuracy","Kiva",1,1,1,1,1,0,5,4,3,34,"Some college or university-level education, without degree",2,"Female","Sometimes",1,"employed full time","CA","Some understanding","Full understanding",FALSE
10019,"AY417ZT2DR0XE","Betting","Kiva",1,1,0,0,1,0,3,2,1,31,"College or University-level degree",3,"Female","Never",1,"employed full time","US","Good understanding","Full understanding",FALSE
10020,"AHGF5S1ZSS58N","Punishment–accuracy","kiva",0,1,0,0,0,1,2,2,2,21,"College or University-level degree",5,"Male","Sometimes",1,"student","IN","Good understanding","Full understanding",FALSE
10021,"A22952KGYRNQ20","Demog only","Kiva",1,NA,NA,NA,NA,NA,NA,NA,NA,41,"Post-graduate or professional degree",4,"Female","Very often",1,"other","US",NA,"Good understanding",NA
10022,"A2ZAEPBIZTK1MB","Cheap talk–normative incentives","kiva",1,0,0,0,1,1,3,2,1,21,"College or University-level degree",4,"Male","Often",1,"student","US","Some understanding","Little understanding",FALSE
10023,"A2B8QVUHDVFG1O","Reward–agreement","Kiva",1,1,0,0,1,1,4,3,2,40,"Post-graduate or professional degree",4,"Female","Sometimes",1,"employed full time","US","Some understanding","Full understanding",FALSE
10024,"A1BM6JA5AAVQ46","Normative Priming","KIVA",1,1,0,0,1,1,4,3,2,29,"College or University-level degree",2,"Female","Rarely",1,"employed part time","GB",NA,"Full understanding",TRUE
10025,"A1U4M5JDMTD0J9","Humanization","kiva",1,0,0,1,1,0,3,2,1,28,"College or University-level degree",6,"Male","Often",2,"employed full time","IN",NA,"Good understanding",FALSE
10026,"A3BA8GRG1R3JWT","Reward–accuracy","Kiva",1,1,1,1,1,0,5,4,3,34,"College or University-level degree",2,"Male","Rarely",0,"employed full time","US",NA,"Full understanding",FALSE
10027,"A11MYVCCB4MDB","Control","kiva",1,0,0,1,1,1,4,3,2,22,"College or University-level degree",4,"Female","Very often",1,"employed part time",NA,NA,NA,FALSE
10028,"A3P6WDIDDKKAV2","Promise-opportunity","KIVA",1,1,0,0,1,1,4,3,2,26,"Post-graduate or professional degree",5,"Male","Very often",2,"employed full time","IN","Good understanding","Good understanding",FALSE
10029,"ADYAOM42BUFAA","Punishment–agreement","kiva",1,1,0,0,1,1,4,3,2,44,"High school degree or equivalent",3,"Female","Often",2,"employed part time","IN",NA,"Good understanding",FALSE
10030,"A2CS48CU9FUM4A","Punishment–accuracy","KIVA",1,1,0,0,1,0,3,2,1,30,"Post-graduate or professional degree",NA,"Male","Very often",1,"employed full time","IN","Good understanding","Good understanding",FALSE
10031,"A3H7QM8NEWX8G5","Cheap talk–surveillance","kiva",1,1,0,0,0,1,3,2,2,18,"College or University-level degree",4,"Male","Very often",2,"student","IN","Good understanding","Full understanding",FALSE
10032,"A2V68RNQVUAY70","Solidarity","kiva",1,1,0,0,0,1,3,2,2,25,"College or University-level degree",4,"Male","Often",1,"employed other","IN",NA,"No understanding",FALSE
