"scriptname","director_id","created_at","updated_at"
"AMT_Script_Treatment8-0509",9940,"2009-06-02 17:42:49","2009-06-02 17:42:49"
"AMT_Script_Control-0509",9941,"2009-06-02 18:01:54","2009-06-02 18:01:54"
"AMT_Script_Treatment3-0509",9942,"2009-06-02 19:13:56","2009-06-02 19:13:56"
"AMT_Script_Treatment11-0509",9943,"2009-06-02 19:57:43","2009-06-02 19:57:43"
"AMT_Script_Treatment15-0509",9944,"2009-06-02 20:16:32","2009-06-02 20:16:32"
"AMT_Script_Control-0509",9945,"2009-06-02 20:42:04","2009-06-02 20:42:04"
"AMT_Script_Control-0509",9946,"2009-09-01 00:51:21","2009-09-01 01:10:35"
"AMT_Script_Treatment5-0509",9947,"2009-06-02 21:15:44","2009-06-02 21:15:44"
"AMT_Script_Treatment2-0509",9948,"2009-06-02 21:06:22","2009-06-02 21:06:22"
"AMT_Script_Treatment11-0509",9949,"2009-06-02 21:30:17","2009-06-02 21:30:17"
"AMT_Script_Treatment12-0509",9950,"2009-06-02 21:48:30","2009-06-02 21:48:30"
"AMT_Script_Treatment5-0509",9951,"2009-06-02 21:37:23","2009-06-02 21:37:23"
"AMT_Script_Control-0509",9953,"2009-06-02 22:00:12","2009-06-02 22:00:12"
"AMT_Script_Treatment10-0509",9954,"2009-06-02 22:15:39","2009-06-02 22:15:42"
"AMT_Script_Treatment8-0509",9955,"2009-06-03 00:45:46","2009-06-03 00:45:46"
"AMT_Script_Treatment5-0509",9956,"2009-06-03 01:22:35","2009-06-03 01:22:35"
"AMT_Script_Treatment15-0509",9957,"2009-06-03 01:32:02","2009-06-03 01:32:02"
"AMT_Script_Control-0509",9958,"2009-06-03 01:35:10","2009-06-03 01:35:10"
"AMT_Script_Treatment2-0509",9959,"2009-06-03 01:58:10","2009-06-03 01:58:10"
"AMT_Script_Treatment12-0509",9960,"2009-06-03 02:11:41","2009-06-03 02:11:41"
"AMT_Script_Treatment3-0509",9961,"2009-06-03 02:24:17","2009-06-03 02:24:17"
"AMT_Script_Treatment3-0509",9962,"2009-09-01 01:34:57","2009-09-01 01:36:33"
"AMT_Script_Treatment10-0509",9963,"2009-06-03 03:32:39","2009-06-03 03:32:39"
"AMT_Script_Treatment16-0509",9964,"2009-06-03 03:59:20","2009-06-03 03:59:20"
"AMT_Script_Treatment13-0509",9965,"2009-06-03 04:10:04","2009-06-03 04:10:04"
"AMT_Script_Treatment5-0509",9966,"2009-06-03 04:31:54","2009-06-03 04:31:54"
"AMT_Script_Treatment3-0509",9967,"2009-06-03 04:39:30","2009-06-03 04:39:30"
"AMT_Script_Treatment5-0509",9968,"2009-06-03 05:11:03","2009-06-03 05:11:03"
"AMT_Script_Treatment10-0509",9969,"2009-06-03 05:15:03","2009-06-03 05:15:03"
"AMT_Script_Treatment2-0509",9970,"2009-06-03 05:11:22","2009-06-03 05:11:22"
"AMT_Script_Treatment4-0509",9971,"2009-06-03 05:34:35","2009-06-03 05:34:35"
"AMT_Script_Treatment9-0509",9972,"2009-06-03 05:16:34","2009-06-03 05:16:34"
"AMT_Script_Treatment8-0509",9973,"2009-06-03 05:19:23","2009-06-03 05:19:23"
"AMT_Script_Treatment10-0509",9974,"2009-06-03 05:27:40","2009-06-03 05:27:40"
"AMT_Script_Treatment15-0509",9975,"2009-06-03 05:55:22","2009-06-03 05:55:22"
"AMT_Script_Treatment6-0509",9976,"2009-06-03 05:54:51","2009-06-03 05:54:51"
"AMT_Script_Treatment2-0509",9977,"2009-06-03 06:06:52","2009-06-03 06:06:52"
"AMT_Script_Treatment4-0509",9978,"2009-06-03 06:42:53","2009-06-03 06:42:53"
"AMT_Script_Treatment3-0509",9979,"2009-06-03 07:17:43","2009-06-03 07:17:43"
"AMT_Script_Control-0509",9980,"2009-06-03 07:07:49","2009-06-03 07:07:49"
"AMT_Script_Treatment3-0509",9981,"2009-06-03 07:11:26","2009-06-03 07:11:26"
"AMT_Script_Treatment11-0509",9982,"2009-06-03 07:16:11","2009-06-03 07:16:11"
"AMT_Script_Treatment5-0509",9983,"2009-06-03 07:21:04","2009-06-03 07:21:04"
"AMT_Script_Treatment15-0509",9984,"2009-06-03 07:51:52","2009-06-03 07:51:52"
"AMT_Script_Treatment6-0509",9985,"2009-06-03 08:02:38","2009-06-03 08:02:38"
"AMT_Script_Treatment11-0509",9986,"2009-06-03 08:01:14","2009-06-03 08:01:14"
"AMT_Script_Treatment5-0509",9987,"2009-06-03 08:12:26","2009-06-03 08:12:26"
"AMT_Script_Treatment5-0509",9988,"2009-06-03 08:30:11","2009-06-03 08:30:11"
"AMT_Script_Treatment16-0509",9989,"2009-06-03 09:00:05","2009-06-03 09:00:05"
"AMT_Script_Treatment13-0509",9990,"2009-06-03 09:26:13","2009-06-03 09:26:13"
"AMT_Script_Treatment6-0509",9991,"2009-06-03 09:41:27","2009-06-03 09:41:27"
"AMT_Script_Treatment13-0509",9992,"2009-06-03 09:40:12","2009-06-03 09:40:12"
"AMT_Script_Treatment16-0509",9993,"2009-06-03 10:32:12","2009-06-03 10:32:12"
"AMT_Script_Treatment12-0509",9994,"2009-06-03 10:46:34","2009-06-03 10:46:34"
"AMT_Script_Treatment9-0509",9995,"2009-06-03 11:10:44","2009-06-03 11:10:44"
"AMT_Script_Treatment3-0509",9996,"2009-06-03 12:34:23","2009-06-03 12:34:23"
"AMT_Script_Treatment11-0509",9997,"2009-06-03 12:52:03","2009-06-03 12:52:03"
"AMT_Script_Treatment8-0509",9998,"2009-06-03 13:15:48","2009-06-03 13:15:48"
"AMT_Script_Treatment10-0509",9999,"2009-09-01 02:12:37","2009-09-01 02:19:48"
"AMT_Script_Treatment8-0509",10000,"2009-06-03 14:07:55","2009-06-03 14:07:55"
"AMT_Script_Control-0509",10001,"2009-06-03 14:08:40","2009-06-03 14:08:40"
"AMT_Script_Treatment9-0509",10002,"2009-09-01 03:54:29","2009-09-01 04:01:40"
"AMT_Script_Treatment6-0509",10003,"2009-06-03 14:27:16","2009-06-03 14:27:16"
"AMT_Script_Treatment3-0509",10004,"2009-06-03 14:51:44","2009-06-03 14:51:44"
"AMT_Script_Treatment7-0509",10005,"2009-06-03 15:18:48","2009-06-03 15:18:48"
"AMT_Script_Treatment6-0509",10006,"2009-06-03 15:01:55","2009-06-03 15:01:55"
"AMT_Script_Treatment12-0509",10007,"2009-06-03 15:40:31","2009-06-03 15:40:31"
"AMT_Script_Treatment15-0509",10008,"2009-06-03 16:05:11","2009-06-03 16:05:11"
"AMT_Script_Treatment16-0509",10009,"2009-06-03 16:26:58","2009-06-03 16:26:58"
"AMT_Script_Treatment15-0509",10010,"2009-06-03 16:46:01","2009-06-03 16:46:01"
"AMT_Script_Treatment11-0509",10011,"2009-06-03 17:12:12","2009-06-03 17:12:12"
"AMT_Script_Treatment10-0509",10012,"2009-06-03 18:42:39","2009-06-03 18:42:39"
"AMT_Script_Treatment13-0509",10013,"2009-06-03 20:00:47","2009-06-03 20:00:47"
"AMT_Script_Treatment12-0509",10014,"2009-06-03 20:31:49","2009-06-03 20:31:49"
"AMT_Script_Treatment2-0509",10015,"2009-06-03 21:16:23","2009-06-03 21:16:23"
"AMT_Script_Control-0509",10016,"2009-09-01 06:24:50","2009-09-01 06:40:38"
"AMT_Script_Treatment10-0509",10017,"2009-06-03 22:03:10","2009-06-03 22:03:10"
"AMT_Script_Treatment6-0509",10018,"2009-06-03 22:08:07","2009-06-03 22:08:07"
"AMT_Script_Treatment16-0509",10019,"2009-06-03 22:12:02","2009-06-03 22:12:02"
"AMT_Script_Treatment8-0509",10020,"2009-06-03 22:35:49","2009-06-03 22:35:49"
"AMT_Script_Treatment2-0509",10021,"2009-06-03 23:12:35","2009-06-03 23:12:35"
"AMT_Script_Treatment5-0509",10022,"2009-06-03 23:38:27","2009-06-03 23:38:27"
"AMT_Script_Treatment7-0509",10023,"2009-06-04 00:18:11","2009-06-04 00:18:11"
"AMT_Script_Treatment15-0509",10024,"2009-06-04 03:02:00","2009-06-04 03:02:00"
"AMT_Script_Treatment12-0509",10025,"2009-06-04 03:59:49","2009-06-04 03:59:49"
"AMT_Script_Treatment6-0509",10026,"2009-06-04 04:04:32","2009-06-04 04:04:32"
"AMT_Script_Control-0509",10027,"2009-06-04 05:05:19","2009-06-04 05:05:19"
"AMT_Script_Treatment11-0509",10028,"2009-06-04 06:17:00","2009-06-04 06:17:00"
"AMT_Script_Treatment9-0509",10029,"2009-06-04 06:11:54","2009-06-04 06:11:54"
"AMT_Script_Treatment8-0509",10030,"2009-06-04 06:22:58","2009-06-04 06:22:58"
"AMT_Script_Treatment4-0509",10031,"2009-06-04 06:30:38","2009-06-04 06:30:38"
"AMT_Script_Treatment10-0509",10032,"2009-06-04 08:29:14","2009-06-04 08:29:14"
"AMT_Script_Treatment4-0509",10033,"2009-06-04 09:04:10","2009-06-04 09:04:10"
"AMT_Script_Treatment4-0509",10034,"2009-09-01 07:36:49","2009-09-01 07:42:20"
"AMT_Script_Treatment15-0509",10035,"2009-06-04 12:56:41","2009-06-04 12:56:41"
"AMT_Script_Treatment15-0509",10037,"2009-06-04 12:50:08","2009-06-04 12:50:08"
"AMT_Script_Treatment8-0509",10038,"2009-06-04 13:10:23","2009-06-04 13:10:23"
"AMT_Script_Treatment13-0509",10039,"2009-06-04 14:55:03","2009-06-04 14:55:03"
"AMT_Script_Treatment16-0509",10040,"2009-06-04 14:50:53","2009-06-04 14:50:53"
"AMT_Script_Treatment16-0509",10041,"2009-06-04 15:00:27","2009-06-04 15:00:27"
"AMT_Script_Treatment6-0509",10042,"2009-06-04 14:57:35","2009-06-04 14:57:35"
"AMT_Script_Treatment13-0509",10043,"2009-06-04 15:28:49","2009-06-04 15:28:49"
"AMT_Script_Treatment4-0509",10044,"2009-06-04 16:30:16","2009-06-04 16:30:16"
"AMT_Script_Treatment12-0509",10045,"2009-06-04 16:58:25","2009-06-04 16:58:25"
"AMT_Script_Treatment11-0509",10046,"2009-06-04 17:30:48","2009-06-04 17:30:48"
"AMT_Script_Treatment2-0509",10047,"2009-06-04 17:32:17","2009-06-04 17:32:17"
"AMT_Script_Treatment10-0509",10048,"2009-06-04 18:10:05","2009-06-04 18:10:05"
"AMT_Script_Treatment14-0509",10049,"2009-06-04 19:46:15","2009-06-04 19:46:15"
"AMT_Script_Treatment4-0509",10050,"2009-06-04 21:40:27","2009-06-04 21:40:27"
"AMT_Script_Treatment10-0509",10051,"2009-06-04 21:56:10","2009-06-04 21:56:10"
"AMT_Script_Treatment13-0509",10052,"2009-06-04 22:48:16","2009-06-04 22:48:16"
"AMT_Script_Treatment10-0509",10053,"2009-06-04 22:55:37","2009-06-04 22:55:37"
"AMT_Script_Treatment12-0509",10054,"2009-06-04 23:14:39","2009-06-04 23:14:39"
"AMT_Script_Treatment15-0509",10055,"2009-06-04 23:10:49","2009-06-04 23:10:49"
"AMT_Script_Treatment2-0509",10056,"2009-06-05 01:00:54","2009-06-05 01:00:54"
"AMT_Script_Treatment5-0509",10057,"2009-06-05 04:57:24","2009-06-05 04:57:24"
"AMT_Script_Treatment8-0509",10058,"2009-06-05 06:02:01","2009-06-05 06:02:01"
"AMT_Script_Treatment8-0509",10060,"2009-09-01 10:12:14","2009-09-01 10:15:50"
"AMT_Script_Treatment10-0509",10061,"2009-09-01 10:16:23","2009-09-01 10:16:23"
"AMT_Script_Treatment5-0509",10062,"2009-06-05 06:13:42","2009-06-05 06:13:42"
"AMT_Script_Treatment2-0509",10063,"2009-06-05 08:12:13","2009-06-05 08:12:13"
"AMT_Script_Treatment10-0509",10064,"2009-06-05 10:49:45","2009-06-05 10:49:45"
"AMT_Script_Treatment6-0509",10065,"2009-06-05 11:17:12","2009-06-05 11:17:12"
"AMT_Script_Treatment15-0509",10066,"2009-06-05 11:22:54","2009-06-05 11:22:54"
"AMT_Script_Treatment3-0509",10067,"2009-09-01 10:41:01","2009-09-01 10:46:57"
"AMT_Script_Treatment7-0509",10068,"2009-06-05 12:48:14","2009-06-05 12:48:14"
"AMT_Script_Treatment2-0509",10069,"2009-06-05 13:04:12","2009-06-05 13:04:12"
"AMT_Script_Treatment7-0509",10070,"2009-06-05 14:18:22","2009-06-05 14:18:22"
"AMT_Script_Treatment5-0509",10072,"2009-06-05 14:26:48","2009-06-05 14:26:48"
"AMT_Script_Treatment8-0509",10073,"2009-06-05 15:27:45","2009-06-05 15:27:45"
"AMT_Script_Control-0509",10074,"2009-06-05 16:08:42","2009-06-05 16:08:42"
"AMT_Script_Treatment7-0509",10075,"2009-06-05 17:13:10","2009-06-05 17:13:10"
"AMT_Script_Treatment13-0509",10076,"2009-09-01 11:14:41","2009-09-01 11:28:13"
"AMT_Script_Treatment12-0509",10077,"2009-09-08 17:24:48","2009-09-08 17:30:40"
"AMT_Script_Treatment7-0509",10078,"2009-09-08 17:41:39","2009-09-08 17:46:58"
"AMT_Script_Treatment15-0509",10079,"2009-09-08 18:32:12","2009-09-08 18:36:57"
"AMT_Script_Treatment11-0509",10080,"2009-06-05 18:06:57","2009-06-05 18:06:57"
"AMT_Script_Treatment7-0509",10081,"2009-06-05 18:32:04","2009-06-05 18:32:04"
"AMT_Script_Treatment6-0509",10082,"2009-06-05 19:46:51","2009-06-05 19:46:51"
"AMT_Script_Treatment15-0509",10083,"2009-06-05 23:12:33","2009-06-05 23:12:33"
"AMT_Script_Treatment8-0509",10084,"2009-06-05 22:50:32","2009-06-05 22:50:32"
"AMT_Script_Treatment6-0509",10085,"2009-09-08 21:31:47","2009-09-08 21:36:38"
"AMT_Script_Treatment14-0509",10086,"2009-09-08 21:58:57","2009-09-08 22:02:01"
"AMT_Script_Treatment7-0509",10087,"2009-06-05 23:51:44","2009-06-05 23:51:44"
"AMT_Script_Treatment12-0509",10088,"2009-06-06 01:30:49","2009-06-06 01:30:49"
"AMT_Script_Treatment3-0509",10089,"2009-06-06 02:10:36","2009-06-06 02:10:36"
"AMT_Script_Treatment6-0509",10090,"2009-06-06 03:11:53","2009-06-06 03:11:53"
"AMT_Script_Treatment16-0509",10091,"2009-06-06 05:17:33","2009-06-06 05:17:33"
"AMT_Script_Treatment16-0509",10092,"2009-06-06 06:46:49","2009-06-06 06:46:49"
"AMT_Script_Treatment3-0509",10093,"2009-06-06 07:43:10","2009-06-06 07:43:10"
"AMT_Script_Treatment14-0509",10094,"2009-06-06 07:56:19","2009-06-06 07:56:19"
"AMT_Script_Treatment11-0509",10095,"2009-06-06 09:32:06","2009-06-06 09:32:06"
"AMT_Script_Treatment15-0509",10096,"2009-06-06 10:14:03","2009-06-06 10:14:03"
"AMT_Script_Treatment11-0509",10097,"2009-06-06 11:43:21","2009-06-06 11:43:21"
"AMT_Script_Treatment15-0509",10098,"2009-09-09 01:12:12","2009-09-09 01:16:13"
"AMT_Script_Control-0509",10099,"2009-06-06 12:08:23","2009-06-06 12:08:23"
"AMT_Script_Treatment4-0509",10100,"2009-06-06 12:43:31","2009-06-06 12:43:31"
"AMT_Script_Treatment15-0509",10101,"2009-09-09 01:23:17","2009-09-09 01:28:58"
"AMT_Script_Treatment3-0509",10102,"2009-06-06 13:47:42","2009-06-06 13:47:42"
"AMT_Script_Treatment10-0509",10103,"2009-09-09 06:32:30","2009-09-09 06:35:25"
"AMT_Script_Treatment16-0509",10104,"2009-09-09 08:25:34","2009-09-09 08:32:22"
"AMT_Script_Treatment14-0509",10105,"2009-06-06 17:07:06","2009-06-06 17:07:06"
"AMT_Script_Treatment8-0509",10106,"2009-06-06 18:31:34","2009-06-06 18:31:34"
"AMT_Script_Treatment13-0509",10107,"2009-06-06 18:39:05","2009-06-06 18:39:05"
"AMT_Script_Treatment14-0509",10109,"2009-06-07 03:56:30","2009-06-07 03:56:30"
"AMT_Script_Treatment13-0509",10110,"2009-09-09 11:15:19","2009-09-09 11:19:41"
"AMT_Script_Treatment15-0509",10111,"2009-06-07 08:10:16","2009-06-07 08:10:16"
"AMT_Script_Treatment7-0509",10112,"2009-06-07 08:50:53","2009-06-07 08:50:53"
"AMT_Script_Treatment15-0509",10113,"2009-06-07 09:22:25","2009-06-07 09:22:25"
"AMT_Script_Treatment9-0509",10114,"2009-06-07 09:41:06","2009-06-07 09:41:06"
"AMT_Script_Treatment14-0509",10115,"2009-09-09 11:18:30","2009-09-09 11:26:38"
"AMT_Script_Treatment3-0509",10116,"2009-06-07 11:03:27","2009-06-07 11:03:27"
"AMT_Script_Treatment2-0509",10117,"2009-06-07 12:45:46","2009-06-07 12:45:46"
"AMT_Script_Treatment9-0509",10118,"2009-06-07 16:14:32","2009-06-07 16:14:32"
"AMT_Script_Treatment3-0509",10119,"2009-09-09 12:11:30","2009-09-09 12:23:40"
"AMT_Script_Treatment10-0509",10120,"2009-06-07 16:42:48","2009-06-07 16:42:48"
"AMT_Script_Treatment2-0509",10121,"2009-06-07 16:49:18","2009-06-07 16:49:18"
"AMT_Script_Treatment16-0509",10122,"2009-06-07 18:56:58","2009-06-07 18:56:58"
"AMT_Script_Treatment9-0509",10123,"2009-06-07 19:21:59","2009-06-07 19:21:59"
"AMT_Script_Treatment8-0509",10124,"2009-06-07 20:02:38","2009-06-07 20:02:38"
"AMT_Script_Control-0509",10125,"2009-06-07 20:46:20","2009-06-07 20:46:20"
"AMT_Script_Treatment7-0509",10126,"2009-06-07 21:03:03","2009-06-07 21:03:03"
"AMT_Script_Treatment4-0509",10127,"2009-06-07 23:02:31","2009-06-07 23:02:31"
"AMT_Script_Treatment14-0509",10128,"2009-09-09 14:14:58","2009-09-09 14:23:42"
"AMT_Script_Treatment8-0509",10129,"2009-06-10 08:29:50","2009-06-10 08:29:50"
"AMT_Script_Treatment11-0509",10130,"2009-06-10 09:49:36","2009-06-10 09:49:36"
"AMT_Script_Treatment11-0509",10131,"2009-06-10 10:08:30","2009-06-10 10:08:30"
"AMT_Script_Treatment3-0509",10132,"2009-06-10 10:00:08","2009-06-10 10:00:08"
"AMT_Script_Treatment8-0509",10133,"2009-06-10 11:01:40","2009-06-10 11:01:40"
"AMT_Script_Treatment16-0509",10134,"2009-06-10 12:41:19","2009-06-10 12:41:19"
"AMT_Script_Treatment2-0509",10135,"2009-06-10 13:23:18","2009-06-10 13:23:18"
"AMT_Script_Treatment14-0509",10136,"2009-06-10 15:06:04","2009-06-10 15:06:04"
"AMT_Script_Treatment5-0509",10137,"2009-06-10 15:23:46","2009-06-10 15:23:46"
"AMT_Script_Treatment11-0509",10138,"2009-09-09 17:18:39","2009-09-09 17:27:03"
"AMT_Script_Treatment16-0509",10139,"2009-06-10 16:58:47","2009-06-10 16:58:47"
"AMT_Script_Treatment4-0509",10140,"2009-06-10 18:01:10","2009-06-10 18:01:10"
"AMT_Script_Treatment7-0509",10141,"2009-06-10 20:10:06","2009-06-10 20:10:06"
"AMT_Script_Treatment12-0509",10142,"2009-06-10 22:14:43","2009-06-10 22:14:43"
"AMT_Script_Treatment3-0509",10143,"2009-06-10 22:10:22","2009-06-10 22:10:22"
"AMT_Script_Treatment11-0509",10144,"2009-06-10 23:28:51","2009-06-10 23:28:51"
"AMT_Script_Treatment13-0509",10145,"2009-09-09 19:05:51","2009-09-09 19:11:15"
"AMT_Script_Treatment10-0509",10146,"2009-06-11 01:32:19","2009-06-11 01:32:19"
"AMT_Script_Treatment14-0509",10147,"2009-06-11 03:12:27","2009-06-11 03:12:27"
"AMT_Script_Treatment8-0509",10148,"2009-09-09 19:56:27","2009-09-09 20:05:23"
"AMT_Script_Treatment11-0509",10149,"2009-06-11 04:49:19","2009-06-11 04:49:19"
"AMT_Script_Treatment13-0509",10150,"2009-06-11 05:04:53","2009-06-11 05:04:53"
"AMT_Script_Treatment5-0509",10151,"2009-06-11 05:12:53","2009-06-11 05:12:53"
"AMT_Script_Treatment15-0509",10152,"2009-06-11 05:44:15","2009-06-11 05:44:15"
"AMT_Script_Treatment7-0509",10153,"2009-09-09 20:17:48","2009-09-09 20:28:22"
"AMT_Script_Treatment7-0509",10154,"2009-06-11 09:24:35","2009-06-11 09:24:35"
"AMT_Script_Treatment12-0509",10155,"2009-06-11 10:30:08","2009-06-11 10:30:08"
"AMT_Script_Treatment12-0509",10156,"2009-06-11 10:43:07","2009-06-11 10:43:07"
"AMT_Script_Treatment12-0509",10157,"2009-06-11 10:41:09","2009-06-11 10:41:09"
"AMT_Script_Treatment11-0509",10158,"2009-06-11 13:02:58","2009-06-11 13:02:58"
"AMT_Script_Treatment11-0509",10159,"2009-06-11 14:51:12","2009-06-11 14:51:12"
"AMT_Script_Treatment3-0509",10160,"2009-06-11 15:22:06","2009-06-11 15:22:06"
"AMT_Script_Treatment2-0509",10161,"2009-06-11 16:43:09","2009-06-11 16:43:09"
"AMT_Script_Treatment12-0509",10162,"2009-06-11 16:52:45","2009-06-11 16:52:45"
"AMT_Script_Treatment5-0509",10163,"2009-06-11 17:41:17","2009-06-11 17:41:17"
"AMT_Script_Treatment4-0509",10164,"2009-09-09 23:27:05","2009-09-09 23:34:56"
"AMT_Script_Treatment2-0509",10165,"2009-06-11 17:34:00","2009-06-11 17:34:00"
"AMT_Script_Treatment10-0509",10166,"2009-09-10 02:18:56","2009-09-10 02:32:09"
"AMT_Script_Treatment15-0509",10167,"2009-06-11 19:28:37","2009-06-11 19:28:37"
"AMT_Script_Treatment12-0509",10168,"2009-06-11 19:36:34","2009-06-11 19:36:34"
"AMT_Script_Treatment4-0509",10169,"2009-06-11 19:40:09","2009-06-11 19:40:09"
"AMT_Script_Control-0509",10170,"2009-06-11 20:42:03","2009-06-11 20:42:03"
"AMT_Script_Treatment8-0509",10171,"2009-06-11 21:08:46","2009-06-11 21:08:46"
"AMT_Script_Treatment6-0509",10172,"2009-06-11 22:37:23","2009-06-11 22:37:23"
"AMT_Script_Control-0509",10173,"2009-06-11 23:14:23","2009-06-11 23:14:23"
"AMT_Script_Treatment7-0509",10174,"2009-06-11 23:51:36","2009-06-11 23:51:36"
"AMT_Script_Treatment2-0509",10175,"2009-06-11 23:59:09","2009-06-11 23:59:09"
"AMT_Script_Treatment11-0509",10176,"2009-06-12 01:01:12","2009-06-12 01:01:12"
"AMT_Script_Treatment9-0509",10177,"2009-06-12 02:09:21","2009-06-12 02:09:21"
"AMT_Script_Treatment9-0509",10178,"2009-06-12 03:10:58","2009-06-12 03:10:58"
"AMT_Script_Treatment7-0509",10179,"2009-06-12 04:52:59","2009-06-12 04:52:59"
"AMT_Script_Control-0509",10180,"2009-06-12 05:35:30","2009-06-12 05:35:30"
"AMT_Script_Treatment4-0509",10181,"2009-09-10 02:27:35","2009-09-10 02:35:08"
"AMT_Script_Treatment12-0509",10182,"2009-09-10 02:35:49","2009-09-10 02:46:02"
"AMT_Script_Control-0509",10184,"2009-06-12 08:57:50","2009-06-12 08:57:50"
"AMT_Script_Treatment5-0509",10185,"2009-06-12 09:11:45","2009-06-12 09:11:45"
"AMT_Script_Treatment6-0509",10186,"2009-06-12 09:53:23","2009-06-12 09:53:23"
"AMT_Script_Treatment2-0509",10187,"2009-06-12 10:15:57","2009-06-12 10:15:57"
"AMT_Script_Treatment15-0509",10188,"2009-06-12 10:35:07","2009-06-12 10:35:07"
"AMT_Script_Treatment4-0509",10189,"2009-06-12 10:50:34","2009-06-12 10:50:34"
